Wed Jan 13 16:50:27 2021 [R] : 0.5033612750147937, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5332308881953466, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5298800846622985, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.532477193677922, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5284740295987583, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.531652644515408, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5270659126999753, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5307616170415812, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5256608877859177, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.529809446774101, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5242642194973869, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5326670478102229, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.5228811092472617, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5312792818497739, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5298800846622985, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5215165846713367, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5284740295987583, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5201754101830353, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5270659126999753, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5188620170828164, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5256608877859177, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5175804514626164, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5242642194973869, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5163343380246327, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5228811092472617, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5151268578888846, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5215165846713367, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5139607384811624, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5201754101830353, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5128382536585537, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5188620170828164, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.511761232331301, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5175804514626164, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5107310739664894, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5163343380246327, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5097487695018554, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5151268578888846, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5088149263493644, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5139607384811624, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5079297963221342, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5128382536585537, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5070933054700673, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.511761232331301, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5063050849556673, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5107310739664894, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5055645022392976, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5097487695018554, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.50487069197081, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5088149263493644, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.504222586100859, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5079297963221342, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5036189428297184, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5070933054700673, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5030583741038728, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5063050849556673, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5025393714512577, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5055645022392976, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5020603300152361, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.50487069197081, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5016195707058956, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.504222586100859, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5012153604358535, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5036189428297184, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5008459304473606, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5030583741038728, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5005094927690603, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5025393714512577, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5002042548652448, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5020603300152361, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49992843255878944, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5016195707058956, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49968026132203736, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5012153604358535, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49945800603857876, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5008459304473606, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992599693438878, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5005094927690603, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4990844986548214, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5002042548652448, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4989299919976601, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49992843255878944, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4987949027422001, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49968026132203736, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4986777433458375, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49945800603857876, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4985770882070084, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992599693438878, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4984915757220626, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4990844986548214, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4989299919976601, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4984199096339246, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4987949027422001, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4983608597549392, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4986777433458375, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4983132621402658, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4985770882070084, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982760187822091, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4984915757220626, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982480968900524, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4984199096339246, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982285278143476, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4983608597549392, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49821640566928205, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4983132621402658, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982108857016932, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982760187822091, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982111824505785, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982480968900524, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982285278143476, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49821656773653533, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49821640566928205, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982108857016932, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982263685164794, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982111824505785, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5018674802183758, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.49821656773653533, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4982263685164794, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5015814001637914, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5018674802183758, [LC] : 0, [DC] : -25
Wed Jan 13 16:50:27 2021 [R] : 0.5015814001637914, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5013247931224305, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5013247931224305, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5010945961518087, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5010945961518087, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5008880754813485, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5007027866714685, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5008880754813485, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.500536540648916, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5003873745638608, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5007027866714685, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5002535266325404, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5001334142974833, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.500536540648916, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5000256151680246, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.499928850306057, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5003873745638608, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49984196950247634, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4997639382536195, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5002535266325404, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4996938261978868, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5001334142974833, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4996307968135863, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.5000256151680246, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49957409821196447, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.499928850306057, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4995230548861042, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49984196950247634, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49947706029813194, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4997639382536195, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49943557020500645, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4996938261978868, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993980966378372, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4996307968135863, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49936420246180224, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49957409821196447, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993334964538224, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4995230548861042, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993056288435481, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49947706029813194, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992802872702663, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49943557020500645, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992571931142668, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992360981662273, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993980966378372, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992167816024368, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49936420246180224, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991990472373213, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993334964538224, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991827210278521, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4993056288435481, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49916764880710995, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992802872702663, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991536942266022, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992571931142668, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49914073688896055, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992360981662273, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991286706544097, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4992167816024368, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991174021059599, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991990472373213, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49910684915964226, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.4991827210278521, [LC] : 0, [DC] : -30
Wed Jan 13 16:50:27 2021 [R] : 0.49909693980732334, [LC] : 0, [DC] : -30
